"","id","region_2017"
"328",10000868,"Тульская область"
"329",10000874,NA
"330",10000875,"Ростовская область"
"331",10000876,NA
"332",10000877,"Карачаево-Черкесская Республика"
"333",10000879,NA
"334",10000884,NA
"335",10000886,"Ставропольский край"
"336",10000888,"Республика Дагестан"
"337",10000891,"Ярославская область"
"338",10000897,NA
"339",10000898,NA
"340",10000903,"Самарская область"
"341",10000908,NA
"342",10000909,"Самарская область"
"343",10000912,"Республика Коми"
"344",10000917,NA
"345",10000936,NA
"346",10000937,NA
"347",10000938,"Ленинградская область"
"348",10000950,"Ленинградская область"
"349",10000951,NA
"350",10000980,"Астраханская область"
"351",10000981,"Саратовская область"
"352",10000983,NA
"353",10000984,"Смоленская область"
"354",10000987,NA
"355",10000988,NA
"356",10000989,NA
"357",10000993,NA
"358",10000994,"Саратовская область"
"359",10001034,NA
"360",10001035,"Ставропольский край"
"361",10001036,"Ставропольский край"
"362",10001037,NA
"363",10001038,NA
"364",10001039,NA
"365",10001048,NA
"366",10001050,NA
"367",10001057,NA
"368",10001064,NA
"369",10001067,"Красноярский край"
"370",10001068,"Республика Хакасия"
"371",10001069,NA
"372",10001070,NA
"373",10001074,NA
"374",10001082,"Краснодарский край"
"375",10001083,NA
"376",10001087,NA
"377",10001104,NA
"378",10001105,NA
"379",10001107,NA
"380",10001109,NA
"381",10001110,NA
"382",10001113,"Тверская область"
"383",10001114,"Тверская область"
"384",10001127,NA
"385",10001128,"Кемеровская область"
"386",10001129,NA
"387",10001131,NA
"388",10001132,NA
"389",10001152,NA
"390",10001153,"Новосибирская область"
"391",10001156,NA
"392",10001159,NA
"393",10001161,"Кемеровская область"
"394",10001167,NA
"395",10001192,"Ямало-Ненецкий автономный округ"
"396",10001194,NA
"397",10001196,NA
"398",10001197,NA
"399",10001198,"Ханты-Мансийский автономный округ"
"400",10001199,"Ханты-Мансийский автономный округ"
"401",10001201,NA
"402",10001202,NA
"403",10001203,NA
"404",10001204,"Тюменская область"
"405",10001205,"Тюменская область"
"406",10001207,NA
"407",10001209,"Пермский край"
"408",10001210,"Ямало-Ненецкий автономный округ"
"409",10001211,"Свердловская область"
"410",10001212,"Удмуртская Республика"
"411",10001213,"Удмуртская Республика"
"412",10001219,"Ульяновская область"
"413",10001232,NA
"414",10001236,NA
"415",10001238,NA
"416",10001242,NA
"417",10001244,NA
"418",10001246,NA
"419",10001247,"Свердловская область"
"420",10001248,NA
"421",10001249,"Свердловская область"
"422",10001250,"Свердловская область"
"423",10001252,NA
"424",10001253,NA
"425",10001254,"Свердловская область"
"426",10001255,NA
"427",10001256,NA
"428",10001257,NA
"429",10001263,NA
"430",10001264,NA
"431",10001265,NA
"432",10001266,NA
"433",10001270,NA
"434",10001271,NA
"435",10001273,"Республика Башкортостан"
"436",10001274,"Республика Башкортостан"
"437",10001275,"Республика Башкортостан"
"438",10001276,"Республика Башкортостан"
"439",10001278,"Республика Башкортостан"
"440",10001280,"Республика Башкортостан"
"441",10001281,"Республика Башкортостан"
"442",10001282,"Республика Башкортостан"
"443",10001284,"Республика Коми"
"444",10001285,"Республика Коми"
"445",10001295,NA
"446",10001297,"Челябинская область"
"447",10001298,"Челябинская область"
"448",10001311,NA
"449",10001312,"Чувашская Республика"
"450",10001313,NA
"451",10001325,NA
"452",10001326,"Ростовская область"
"453",10001327,NA
"454",10001328,"Ростовская область"
"455",10001329,NA
"456",10001340,"Челябинская область"
"457",10001341,"Челябинская область"
